texto,likes,video
faltaron algunos goles pero buen resumen,0,¡TODOS los GOLES del Mundial de Clubes FIFA 2025 e
"Di María: "" yo saludé a mi flia no le pedí perdón a nadie"" jajjajajaj q grande el fideo",1366,Boca vs Benfica | Reacciones de Amigos | Mundial d
"*""Cuando el cabezazo de Otamendi entró al arco yo ya sabía que era gol""*

-Davo Xeneixe antes de comerse un traba",439,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Figal: "" Lo importante era divertirme """,1715,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Me gusta cuando reaccionan desde casa, se desahogan mas y madrean. En cambió desde el estadio se guardan más el enojo son más educados.
Saludos desde Colombia 🇨🇴",518,Boca vs Benfica | Reacciones de Amigos | Mundial d
Lo subieron mas rapido que Andrea Herrera Yendose jaja,1070,Boca vs Benfica | Reacciones de Amigos | Mundial d
12:20 di maría en la entrevista dijo que estaba saludando a su familia no pidiendo perdón👌,491,Boca vs Benfica | Reacciones de Amigos | Mundial d
esta el hermano de figal mirando el partido con los displi jajajaja,286,Boca vs Benfica | Reacciones de Amigos | Mundial d
8:24 cuando vi al parecido a mati en la tribuna dije ojalá lo vean y digan que es igual jajajaj,81,Boca vs Benfica | Reacciones de Amigos | Mundial d
Riquelme: va a ser un mundial de clubes muy divertido,200,Boca vs Benfica | Reacciones de Amigos | Mundial d
"14:25 "" vamos juega rojo con el bayern JJEJEJEJEJ"" JAJAJAJAJAJ",44,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Gol de Merentiel (3:18)
Gol de Battaglia  (4:37)
Gol de Di Maria/penal (7:53) 
Gol de Otamendi (12:35)",373,Boca vs Benfica | Reacciones de Amigos | Mundial d
No me lo esperaba tan rápido,431,Boca vs Benfica | Reacciones de Amigos | Mundial d
"8:32 TODOS EN LA TRANSMISION DIJIMOS ""MIRA MATI DE LOS DISPLICENTES"" 😅",112,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Figal "" lo importante era divertirme """,205,Boca vs Benfica | Reacciones de Amigos | Mundial d
Figal post partido: Me hice expulsar para no cagarla contra el Bayer,96,Boca vs Benfica | Reacciones de Amigos | Mundial d
7:03 el de bigotito sabe de futbol o lo ve de espaldas? Como no va a ser penal eso jajaja entonces el de rojas a meli en 2014 no fue tampoco😂,24,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Mati en el minuto 8:10 aprox pusiste que Di Maria les pidió perdón Jajajaj , Di Maria salió a declarar que saludo a la familia , no pidió perdón 😂😂",103,Boca vs Benfica | Reacciones de Amigos | Mundial d
6:17 6:33 8:10 Mati se dio cuenta al toque del penal,8,Boca vs Benfica | Reacciones de Amigos | Mundial d
Salve! Sou um fã do Brasil palmeirense e venho acompanhando vocês desde 2018! Continuem com o trabalho fenomenal! Amo muito o conteúdo!,153,Boca vs Benfica | Reacciones de Amigos | Mundial d
"Sou português acompanho este canal desde 2019, engraçado ver clubes de Portugal a defrontar equipas da América do Sul, infelizmente o meu Sporting Clube de Portugal não está a disputar a prova, mesmo sendo a melhor equipa Portuguesa na atualidade, mas sempre bom ver estas Partidas.",116,Boca vs Benfica | Reacciones de Amigos | Mundial d
"lo mejor del video, ver a mati en el video y en el estadio al mismo tiempo que crack",16,Boca vs Benfica | Reacciones de Amigos | Mundial d
Me gustan que se hayan alegrado los 3 y desp rapido se acuerden lo q es su equipito chiquiiiiito,6,Boca vs Benfica | Reacciones de Amigos | Mundial d
